Gunstar Heroes;Mega Drive
Sonic The Hedgehog;Mega Drive
Sonic The Hedgehog 2;Mega Drive
Phantasy Star;Mega Drive
Beyond Oasis;Mega Drive
Phantasy Star 2;Mega Drive
Shining Force;Mega Drive
Quackshot;Mega Drive
Contra Hardcorps;Mega Drive
Landstalker;Mega Drive
Shinobi 3;Mega Drive
Streets Of Rage;Mega Drive
Streets Of Rage 2;Mega Drive
Streets Of Rage 3;Mega Drive
El Viento;Mega Drive
Golden Axe;Mega Drive
Golden Axe 2;Mega Drive
Golden Axe 3;Mega Drive
Castlevania: Bloodlines;Mega Drive
Pulseman;Mega Drive
Shining Force 2;Mega Drive
Phantasy Star 3;Mega Drive
Phantasy Star 4;Mega Drive
Castle Of Illusion;Mega Drive
Mickey Mania;Mega Drive
World Of Illusion;Mega Drive
Contra 3;Snes
Donkey Kong Country;Snes
Chrono Trigger;Snes
Mother;Snes
Megaman 7;Snes
Mega Man And Forte;Snes
Megaman X;Snes
Donkey Kong Country 2;Snes
Donkey Kong Country 3;Snes
Demons Crest;Snes
Evo;Snes
Mario Rpg The Legend Of The Seven Stars;Snes
Megaman X 2;Snes
Megaman X 3;Snes
Golden Sun;Game Boy Advanced
Zelda Minish Cap;Game Boy Advanced
Metroid Fusion;Game Boy Advanced
Final Fantasy Tactics Advanced;Game Boy Advanced
Fire Emblem;Game Boy Advanced
Mario Luigi Superstar Saga;Game Boy Advanced
Advance Wars;Game Boy Advanced
Boktai;Game Boy Advanced
Mega Man Zero;Game Boy Advanced
Sonic Advance;Game Boy Advanced
Catlevania Aria Of Sorrow;Game Boy Advanced
Castlevania Circle Of The Moon;Game Boy Advanced
Castlevania Harmony Of Dissonance;Game Boy Advanced
Advance Wars 2: Black Hole Rising;Game Boy Advanced
Advance Wars 3: Dual Strike;Game Boy Advanced
Paper Mario;Nintendo 64
Super Mario 64;Nintendo 64
Star Fox;Nintendo 64
Star Wars Rogue Squadron;Nintendo 64
Banjo Kazooie ;Nintendo 64
Banjo Tooie;Nintendo 64
Jet Force Gemini;Nintendo 64
Vagrant Story;Playstation
Einhander;Playstation
Chrono Cross;Playstation
Parasite Eve;Playstation
Parasite Eve 2;Playstation
Breath Of Fire Iv;Playstation
Final Fantasy Ix;Playstation
Suikoden;Playstation
Suikoden 2;Playstation
Klonoa;Playstation
Legend Of Dragoon;Playstation
Panzer Bandit;Playstation
Tomba ;Playstation
Tomba 2;Playstation
Silhouette Mirage;Playstation
Hercs Adventures;Playstation
Nights Into Dreams;Sega Saturn
Guardian Heroes;Sega Saturn
Shining Force 3;Sega Saturn
Rayearth;Sega Saturn
Panzer Dragon Saga;Sega Saturn
Radiant  Silvergun;Sega Saturn
Panzer Dragon 2;Sega Saturn
Panzer Dragon;Sega Saturn
Albert Odissey;Sega Saturn
Dark Savior;Sega Saturn
Legend Of Oasys;Sega Saturn
Shining The Holy Ark;Sega Saturn
Burning Rangers;Sega Saturn
Fighters Megamix;Sega Saturn
Lumines;Playstation Portable
Metal Gear Solid Peace Walker;Playstation Portable
Final Fantasy Tactics War Of Hte Lions;Playstation Portable
Joan Of Arc;Playstation Portable
Disgaea;Playstation Portable
Patapon;Playstation Portable
Locco Rocco;Playstation Portable
Crisis Core Final Fantasy 7;Playstation Portable
Gitaroo Man;Playstation Portable
Mega Man Powered Up;Playstation Portable
Lumines 2;Playstation Portable
Monster Hunter Freedom Unite 2;Playstation Portable
Castlevania Dracula X Chronicles;Playstation Portable
Valkirie Profile Lenneth;Playstation Portable
Shin Megami Tensei Persona 3;Playstation Portable
Half Minute Heroes;Playstation Portable
The Legend Of Heroes Trails In The Sky;Playstation Portable
Corpse Party;Playstation Portable
Cladun;Playstation Portable
Pangya Fantasy Golf;Playstation Portable
Z.H.P. Unlosing Ranger Vs Darkdeath Evilman;Playstation Portable
Mega Man Maverick Hunter X;Playstation Portable
Dissidia: Final Fantasy;Playstation Portable
Kingdom Hearts: Birth By Sleep;Playstation Portable
Ratchet & Clank: Size Matters;Playstation Portable
Patapon 2;Playstation Portable
Daxter;Playstation Portable
Locoroco 2;Playstation Portable
Tactics Ogre: Let Us Cling Together;Playstation Portable
Parasite Eve The Third Birthday;Playstation Portable
Rhythm Heaven;Nintendo Ds
Castlevania Portrait Of Ruin;Nintendo Ds
Phoenix Wright Ace Attorney;Nintendo Ds
Legend Of Zelda Spirit Tracks;Nintendo Ds
Fire Emblem Shadow Dragon;Nintendo Ds
Advance Wars Dual Strike;Nintendo Ds
Professor Layton And The Curious Village;Nintendo Ds
Castlevania Order Of Ecclesia;Nintendo Ds
Elite Beat Agents;Nintendo Ds
The World Ends With You;Nintendo Ds
New Super Mario Bros;Nintendo Ds
Castlevania Dawn Of Sorrow;Nintendo Ds
Professor Layton And The Curious Village;Nintendo Ds
Professor Layton And The Diabolical/Pandora's Box;Nintendo Ds
Professor Layton And The Unwound/Lost Future;Nintendo Ds
Professor Layton And The Last Specter/Spectre's Call;Nintendo Ds
Mario And Luigi Partners In Time;Nintendo Ds
Mario Kart Ds;Nintendo Ds
Chrono Trigger;Nintendo Ds
The Legend Of Zelda Phantom Hourglass;Nintendo Ds
Advance Wars Days Of Ruin;Nintendo Ds
Ghost Trick Phanton Detective;Nintendo Ds
Waio Ware;Nintendo Ds
Final Fantasy Tactics A2;Nintendo Ds
Apollo Justice: Ace Attorney;Nintendo Ds
Advance Wars 4: Days Of Ruin ;Nintendo Ds
Dragon Quest 5: Hand Of The Heavenly Bride;Nintendo Ds
Dragon Quest 4: Chapters Of The Chosen;
Jet Set Radio;Sega Dreamcast
Ikaruga;Sega Dreamcast
Rez;Sega Dreamcast
Crazy Taxy 1;Sega Dreamcast
Crazy Taxy 2;Sega Dreamcast
Resident Evil Code Veronica X;Sega Dreamcast
Sonic Adventure;Sega Dreamcast
Sonic Adventure 2;Sega Dreamcast
Skies Of Arcadia;Sega Dreamcast
Shenmue;Sega Dreamcast
Shenmue 2;Sega Dreamcast
Jet Grind Radio;Sega Dreamcast
Project Justice;Sega Dreamcast
Phantasy Star Online;Sega Dreamcast
Alien Hominid;Playstation 2
Black;Playstation 2
Odin Sphere;Playstation 2
Jak And Daxter;Playstation 2
Ratchet And Clank;Playstation 2
Psychonauts;Playstation 2
Beyond Good And Evil;Playstation 2
Katamari Damacy;Playstation 2
Shin Megami Tensei Persona 4;Playstation 2
Metal Gear Solid 2;Playstation 2
Metal Gear Solid 3;Playstation 2
Final Fantasy X;Playstation 2
Ico;Playstation 2
Okami;Playstation 2
Kingdom Hearts;Playstation 2
